@W: CG146 :"F:\PSTR17R5B\ipcore_dir\myfifo.v":39:7:39:12|Creating black box for empty module myfifo
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_1_[11] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_2_[11] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_3_[11] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_4_[11] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_5_[11] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_6_[11] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_7_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_8_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_9_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_10_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_11_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[10] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_12_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_13_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_14_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_15_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[2] is always 0, optimizing ...
